ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;FONCTION_PERSONNEL;TS_CREATION_PERSONNEL;TS_MAJ_PPERSONNEL
KeyPers_Berlin_1230000;Name0;FistName0;1948-11-17;Bogota;Colombia;NS000000000;;+336##0530601;51;NomVoie520;;#8356;Berlin;Germany;Dateningenieur;2000-05-09 11:54:25;2000-05-09 11:54:25
KeyPers_Berlin_1230001;Name1;FistName1;1941-03-05;New-York;USA;NS000000001;;+336##0458137;17;NomVoie811;;#2377;Berlin;Germany;Führungskraft;2014-08-17 01:27:04;2014-08-17 01:27:04
KeyPers_Berlin_1230002;Name2;FistName2;1958-09-14;Shanghai;China;NS000000002;;+336##0496388;70;NomVoie852;;#7911;Berlin;Germany;Computeringenieur;2013-01-22 14:11:50;2013-01-22 14:11:50
KeyPers_Berlin_1230003;Name3;FistName3;1961-04-18;Montreal;Canada;NS000000003;;+336##0192807;80;NomVoie413;;#8881;Berlin;Germany;Computeringenieur;2007-08-27 01:28:18;2007-08-27 01:28:18
KeyPers_Berlin_1230004;Name4;FistName4;1950-09-08;Buenos Aires;Argentina;NS000000004;;+336##0191692;62;NomVoie704;;#5811;Berlin;Germany;Dateningenieur;2012-03-02 18:24:08;2012-03-02 18:24:08
KeyPers_Berlin_1230005;Name5;FistName5;1977-09-09;New-York;USA;NS000000005;;+336##0725787;17;NomVoie215;;#4954;Berlin;Germany;Computeringenieur;1998-04-12 19:18:19;1998-04-12 19:18:19
KeyPers_Berlin_1230006;Name6;FistName6;2000-10-08;London;England;NS000000006;;+336##0550953;23;NomVoie06;;#7731;Berlin;Germany;Computeringenieur;2000-04-19 03:30:14;2000-04-19 03:30:14
KeyPers_Berlin_1230007;Name7;FistName7;1997-04-08;Stockholm;Suède;NS000000007;;+336##0641921;71;NomVoie677;;#2205;Berlin;Germany;Führungskraft;2001-11-15 17:55:44;2001-11-15 17:55:44
KeyPers_Berlin_1230008;Name8;FistName8;1933-04-07;Sao Paulo;Brazil;NS000000008;;+336##0104137;81;NomVoie338;;#6924;Berlin;Germany;Dateningenieur;2005-03-14 05:25:13;2005-03-14 05:25:13
KeyPers_Berlin_1230009;Name9;FistName9;1975-03-12;Helsinki;Finlande;NS000000009;;+336##0269459;58;NomVoie959;;#4489;Berlin;Germany;Computeringenieur;2016-01-21 17:18:49;2016-01-21 17:18:49
KeyPers_Berlin_1230010;Name10;FistName10;1987-01-16;Helsinki;Finlande;NS000000010;;+336##0261644;70;NomVoie1810;;#4538;Berlin;Germany;Führungskraft;2001-09-13 16:39:56;2001-09-13 16:39:56
KeyPers_Berlin_1230011;Name11;FistName11;1952-09-04;Wellington;New Zealand;NS000000011;;+336##0914778;26;NomVoie4611;;#6425;Berlin;Germany;Dateningenieur;2015-11-16 22:59:13;2015-11-16 22:59:13
KeyPers_Berlin_1230012;Name12;FistName12;1955-04-06;Lima;Peru;NS000000012;;+336##0339478;64;NomVoie4412;;#8358;Berlin;Germany;Ökonom;2020-07-22 11:27:38;2020-07-22 11:27:38
KeyPers_Berlin_1230013;Name13;FistName13;1983-10-10;Auckland;New Zealand;NS000000013;;+336##0845224;1;NomVoie3013;;#9849;Berlin;Germany;Dateningenieur;2004-02-06 10:49:48;2004-02-06 10:49:48
KeyPers_Berlin_1230014;Name14;FistName14;1998-02-08;Lille;France;NS000000014;;+336##0126853;1;NomVoie4114;;#8429;Berlin;Germany;Führungskraft;2017-08-04 09:18:41;2017-08-04 09:18:41
KeyPers_Berlin_1230015;Name15;FistName15;1989-11-19;Alger;Algeria;NS000000015;;+336##0209553;74;NomVoie9615;;#4313;Berlin;Germany;Dateningenieur;1998-11-04 18:46:20;1998-11-04 18:46:20
KeyPers_Berlin_1230016;Name16;FistName16;1936-10-22;New-York;USA;NS000000016;;+336##0000811;78;NomVoie6216;;#8331;Berlin;Germany;Dateningenieur;2001-05-08 14:49:20;2001-05-08 14:49:20
KeyPers_Berlin_1230017;Name17;FistName17;1935-10-09;Washington;USA;NS000000017;;+336##0904999;38;NomVoie9317;;#8426;Berlin;Germany;Ökonom;2009-01-10 04:22:36;2009-01-10 04:22:36
KeyPers_Berlin_1230018;Name18;FistName18;1995-03-07;Lima;Peru;NS000000018;;+336##0853960;10;NomVoie718;;#6404;Berlin;Germany;Dateningenieur;2018-11-06 14:34:06;2018-11-06 14:34:06
KeyPers_Berlin_1230019;Name19;FistName19;1953-09-14;Vancouver;Canada;NS000000019;;+336##0880133;74;NomVoie9719;;#6290;Berlin;Germany;Computeringenieur;2021-06-15 08:47:53;2021-06-15 08:47:53
KeyPers_Berlin_1230020;Name20;FistName20;1976-01-13;Wellington;New Zealand;NS000000020;;+336##0603062;1;NomVoie5620;;#7599;Berlin;Germany;Computeringenieur;2015-02-06 15:08:26;2015-02-06 15:08:26
KeyPers_Berlin_1230021;Name21;FistName21;1952-07-11;Paris;France;NS000000021;;+336##0966975;39;NomVoie5521;;#3508;Berlin;Germany;Führungskraft;2001-10-02 03:27:53;2001-10-02 03:27:53
