ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;FONCTION_PERSONNEL;TS_CREATION_PERSONNEL;TS_MAJ_PPERSONNEL
KeyPers_LA_1230000;Name0;FistName0;1980-10-24;Buenos Aires;Argentina;NS000000000;;+336##0398151;48;NomVoie580;;#5702;Los Angeles;USA;Computer Engineer;2023-06-09 07:01:01;2023-06-09 07:01:01
KeyPers_LA_1230001;Name1;FistName1;1956-09-17;Bordeaux;France;NS000000001;;+336##0995321;89;NomVoie311;;#3022;Los Angeles;USA;Data Engineer;2006-07-13 23:29:33;2006-07-13 23:29:33
KeyPers_LA_1230002;Name2;FistName2;1964-08-06;Sidney;Australia;NS000000002;;+336##0580176;95;NomVoie142;;#5675;Los Angeles;USA;Data Engineer;2011-11-03 07:21:29;2011-11-03 07:21:29
KeyPers_LA_1230003;Name3;FistName3;1932-07-20;Shanghai;China;NS000000003;;+336##0265954;77;NomVoie263;;#9522;Los Angeles;USA;Computer Engineer;2018-01-20 05:49:23;2018-01-20 05:49:23
KeyPers_LA_1230004;Name4;FistName4;1938-10-04;Bogota;Colombia;NS000000004;;+336##0603257;52;NomVoie634;;#5989;Los Angeles;USA;Computer Engineer;2005-01-02 15:56:13;2005-01-02 15:56:13
KeyPers_LA_1230005;Name5;FistName5;1976-04-20;Pekin;China;NS000000005;;+336##0426266;78;NomVoie575;;#3290;Los Angeles;USA;Data Engineer;2002-03-26 07:49:27;2002-03-26 07:49:27
KeyPers_LA_1230006;Name6;FistName6;1995-02-12;London;England;NS000000006;;+336##0672268;90;NomVoie36;;#6897;Los Angeles;USA;Computer Engineer;2005-10-27 22:31:44;2005-10-27 22:31:44
KeyPers_LA_1230007;Name7;FistName7;1956-05-08;Washington;USA;NS000000007;;+336##0657047;22;NomVoie807;;#8804;Los Angeles;USA;Data Engineer;2006-08-18 08:29:28;2006-08-18 08:29:28
KeyPers_LA_1230008;Name8;FistName8;1956-04-24;Sao Paulo;Brazil;NS000000008;;+336##0889024;41;NomVoie688;;#3408;Los Angeles;USA;Data Engineer;2013-07-24 17:42:35;2013-07-24 17:42:35
KeyPers_LA_1230009;Name9;FistName9;1961-11-27;Pekin;China;NS000000009;;+336##0869880;84;NomVoie979;;#6987;Los Angeles;USA;Computer Engineer;2022-09-21 19:41:54;2022-09-21 19:41:54
KeyPers_LA_1230010;Name10;FistName10;1950-07-09;Tokyo;Japan;NS000000010;;+336##0121122;21;NomVoie1610;;#8440;Los Angeles;USA;Computer Engineer;2018-06-14 18:01:51;2018-06-14 18:01:51
KeyPers_LA_1230011;Name11;FistName11;1967-11-11;Lille;France;NS000000011;;+336##0794780;39;NomVoie5211;;#2070;Los Angeles;USA;Data Engineer;1997-02-01 13:34:26;1997-02-01 13:34:26
KeyPers_LA_1230012;Name12;FistName12;1942-08-11;Bordeaux;France;NS000000012;;+336##0443887;25;NomVoie1912;;#3016;Los Angeles;USA;Data Engineer;2008-11-16 08:15:50;2008-11-16 08:15:50
KeyPers_LA_1230013;Name13;FistName13;1950-03-05;Mexico;Mexico;NS000000013;;+336##0681004;48;NomVoie5413;;#6743;Los Angeles;USA;Business Executive;2010-09-18 11:28:42;2010-09-18 11:28:42
KeyPers_LA_1230014;Name14;FistName14;1996-02-04;New-York;USA;NS000000014;;+336##0640441;99;NomVoie6614;;#1088;Los Angeles;USA;Computer Engineer;2000-08-27 08:24:03;2000-08-27 08:24:03
KeyPers_LA_1230015;Name15;FistName15;1946-01-16;Berlin;Allemagne;NS000000015;;+336##0185630;93;NomVoie815;;#3732;Los Angeles;USA;Data Engineer;2021-02-24 08:40:40;2021-02-24 08:40:40
KeyPers_LA_1230016;Name16;FistName16;1971-02-07;Tokyo;Japan;NS000000016;;+336##0104430;28;NomVoie4716;;#0345;Los Angeles;USA;Business Executive;2000-07-13 04:11:50;2000-07-13 04:11:50
KeyPers_LA_1230017;Name17;FistName17;1979-11-10;Washington;USA;NS000000017;;+336##0522810;10;NomVoie7117;;#1585;Los Angeles;USA;Computer Engineer;1999-09-11 01:32:56;1999-09-11 01:32:56
KeyPers_LA_1230018;Name18;FistName18;1974-04-05;Bogota;Colombia;NS000000018;;+336##0709205;86;NomVoie5918;;#0552;Los Angeles;USA;Computer Engineer;2015-05-10 04:06:54;2015-05-10 04:06:54
KeyPers_LA_1230019;Name19;FistName19;1956-01-01;Wellington;New Zealand;NS000000019;;+336##0891845;76;NomVoie4319;;#8341;Los Angeles;USA;Computer Engineer;2015-02-15 21:39:36;2015-02-15 21:39:36
KeyPers_LA_1230020;Name20;FistName20;1939-08-18;Alger;Algeria;NS000000020;;+336##0378330;12;NomVoie8620;;#7862;Los Angeles;USA;Data Engineer;2006-11-23 23:59:23;2006-11-23 23:59:23
KeyPers_LA_1230021;Name21;FistName21;1971-03-14;Washington;USA;NS000000021;;+336##0229426;7;NomVoie1821;;#9151;Los Angeles;USA;Data Engineer;2002-05-02 12:04:23;2002-05-02 12:04:23
KeyPers_LA_1230022;Name22;FistName22;1989-04-11;Lille;France;NS000000022;;+336##0589171;65;NomVoie8222;;#0392;Los Angeles;USA;Business Executive;1999-08-14 13:26:57;1999-08-14 13:26:57
KeyPers_LA_1230023;Name23;FistName23;1965-07-15;Compiègne;France;NS000000023;;+336##0500389;96;NomVoie2223;;#8639;Los Angeles;USA;Economist;1998-03-03 22:58:57;1998-03-03 22:58:57
KeyPers_LA_1230024;Name24;FistName24;1965-04-24;Compiègne;France;NS000000024;;+336##0222637;79;NomVoie2224;;#8932;Los Angeles;USA;Computer Engineer;2016-03-17 21:07:40;2016-03-17 21:07:40
KeyPers_LA_1230025;Name25;FistName25;1975-09-05;Sidney;Australia;NS000000025;;+336##0776420;44;NomVoie2225;;#3659;Los Angeles;USA;Computer Engineer;2019-09-08 12:48:12;2019-09-08 12:48:12
KeyPers_LA_1230026;Name26;FistName26;1943-08-16;Buenos Aires;Argentina;NS000000026;;+336##0387212;99;NomVoie2826;;#5810;Los Angeles;USA;Business Executive;2012-04-05 11:19:35;2012-04-05 11:19:35
KeyPers_LA_1230027;Name27;FistName27;1954-11-22;Dubaï;Emirats;NS000000027;;+336##0751038;36;NomVoie1927;;#8247;Los Angeles;USA;Data Engineer;2010-05-24 14:54:08;2010-05-24 14:54:08
KeyPers_LA_1230028;Name28;FistName28;1970-10-09;Alger;Algeria;NS000000028;;+336##0859583;3;NomVoie6728;;#5733;Los Angeles;USA;Data Engineer;2010-04-02 06:29:22;2010-04-02 06:29:22
KeyPers_LA_1230029;Name29;FistName29;1977-11-16;Oslo;Norvège;NS000000029;;+336##0544456;15;NomVoie5629;;#8027;Los Angeles;USA;Data Engineer;2003-05-04 03:34:43;2003-05-04 03:34:43
KeyPers_LA_1230030;Name30;FistName30;1966-01-22;Stockholm;Suède;NS000000030;;+336##0497292;27;NomVoie2830;;#7664;Los Angeles;USA;Computer Engineer;2008-08-07 04:04:04;2008-08-07 04:04:04
KeyPers_LA_1230031;Name31;FistName31;1979-11-22;Los Angeles;USA;NS000000031;;+336##0256903;89;NomVoie7231;;#7817;Los Angeles;USA;Economist;2013-02-22 16:14:25;2013-02-22 16:14:25
KeyPers_LA_1230032;Name32;FistName32;1970-04-24;Sao Paulo;Brazil;NS000000032;;+336##0419194;88;NomVoie9332;;#5271;Los Angeles;USA;Business Executive;2014-02-01 23:59:36;2014-02-01 23:59:36
KeyPers_LA_1230033;Name33;FistName33;1946-03-23;Tunis;Tunisie;NS000000033;;+336##0538049;95;NomVoie5933;;#0900;Los Angeles;USA;Data Engineer;2020-10-08 08:06:11;2020-10-08 08:06:11
KeyPers_LA_1230034;Name34;FistName34;1993-05-13;Rabat;Maroc;NS000000034;;+336##0640835;11;NomVoie9834;;#5849;Los Angeles;USA;Business Executive;1999-01-08 15:32:21;1999-01-08 15:32:21
KeyPers_LA_1230035;Name35;FistName35;1999-02-23;Melbourne;Australia;NS000000035;;+336##0428325;63;NomVoie2235;;#4416;Los Angeles;USA;Business Executive;2022-07-13 02:40:20;2022-07-13 02:40:20
KeyPers_LA_1230036;Name36;FistName36;1972-09-11;Shanghai;China;NS000000036;;+336##0858652;39;NomVoie6736;;#0740;Los Angeles;USA;Economist;2021-06-04 07:34:06;2021-06-04 07:34:06
KeyPers_LA_1230037;Name37;FistName37;1951-08-03;Helsinki;Finlande;NS000000037;;+336##0947415;25;NomVoie1137;;#0581;Los Angeles;USA;Computer Engineer;2009-10-26 17:35:52;2009-10-26 17:35:52
KeyPers_LA_1230038;Name38;FistName38;1986-10-24;Buenos Aires;Argentina;NS000000038;;+336##0217974;45;NomVoie4938;;#7894;Los Angeles;USA;Business Executive;2023-05-24 12:59:20;2023-05-24 12:59:20
KeyPers_LA_1230039;Name39;FistName39;1968-07-22;Osaka;Japan;NS000000039;;+336##0147085;32;NomVoie339;;#4320;Los Angeles;USA;Data Engineer;2000-03-18 12:13:39;2000-03-18 12:13:39
KeyPers_LA_1230040;Name40;FistName40;1965-05-24;Wellington;New Zealand;NS000000040;;+336##0326450;43;NomVoie8740;;#9867;Los Angeles;USA;Computer Engineer;2021-01-21 12:43:06;2021-01-21 12:43:06
KeyPers_LA_1230041;Name41;FistName41;1977-05-17;New-York;USA;NS000000041;;+336##0414499;22;NomVoie2041;;#7813;Los Angeles;USA;Computer Engineer;2019-11-11 20:35:45;2019-11-11 20:35:45
KeyPers_LA_1230042;Name42;FistName42;1985-04-25;Mexico;Mexico;NS000000042;;+336##0240667;96;NomVoie8342;;#5024;Los Angeles;USA;Economist;2020-07-11 19:21:36;2020-07-11 19:21:36
KeyPers_LA_1230043;Name43;FistName43;1935-07-10;Vancouver;Canada;NS000000043;;+336##0355315;94;NomVoie9643;;#2864;Los Angeles;USA;Data Engineer;2002-06-06 14:36:06;2002-06-06 14:36:06
KeyPers_LA_1230044;Name44;FistName44;1934-02-20;Dubaï;Emirats;NS000000044;;+336##0670875;42;NomVoie344;;#9259;Los Angeles;USA;Business Executive;1999-11-01 09:13:54;1999-11-01 09:13:54
KeyPers_LA_1230045;Name45;FistName45;1993-05-18;Washington;USA;NS000000045;;+336##0409730;68;NomVoie1645;;#2524;Los Angeles;USA;Computer Engineer;2021-08-09 06:30:53;2021-08-09 06:30:53
KeyPers_LA_1230046;Name46;FistName46;1991-07-17;Wellington;New Zealand;NS000000046;;+336##0274386;23;NomVoie5046;;#7154;Los Angeles;USA;Computer Engineer;2016-06-15 21:43:36;2016-06-15 21:43:36
KeyPers_LA_1230047;Name47;FistName47;1972-06-13;Tunis;Tunisie;NS000000047;;+336##0363747;85;NomVoie4347;;#0375;Los Angeles;USA;Data Engineer;2002-06-20 14:11:02;2002-06-20 14:11:02
KeyPers_LA_1230048;Name48;FistName48;1989-02-18;Mexico;Mexico;NS000000048;;+336##0130152;16;NomVoie6848;;#6155;Los Angeles;USA;Computer Engineer;2016-08-06 07:48:24;2016-08-06 07:48:24
KeyPers_LA_1230049;Name49;FistName49;1964-08-15;Oslo;Norvège;NS000000049;;+336##0547208;23;NomVoie1549;;#7147;Los Angeles;USA;Business Executive;1998-06-13 13:40:50;1998-06-13 13:40:50
KeyPers_LA_1230050;Name50;FistName50;1943-07-21;Sidney;Australia;NS000000050;;+336##0540882;28;NomVoie4650;;#9694;Los Angeles;USA;Data Engineer;2022-11-12 09:34:41;2022-11-12 09:34:41
KeyPers_LA_1230051;Name51;FistName51;1966-02-15;Rabat;Maroc;NS000000051;;+336##0277021;38;NomVoie5251;;#4057;Los Angeles;USA;Data Engineer;2005-10-16 02:42:45;2005-10-16 02:42:45
KeyPers_LA_1230052;Name52;FistName52;1950-05-26;Alger;Algeria;NS000000052;;+336##0665318;64;NomVoie052;;#3411;Los Angeles;USA;Economist;2007-02-25 22:09:05;2007-02-25 22:09:05
KeyPers_LA_1230053;Name53;FistName53;1991-06-22;Dubaï;Emirats;NS000000053;;+336##0560817;68;NomVoie453;;#5846;Los Angeles;USA;Economist;1997-10-06 09:40:37;1997-10-06 09:40:37
KeyPers_LA_1230054;Name54;FistName54;1956-05-23;Dubaï;Emirats;NS000000054;;+336##0597209;44;NomVoie8554;;#4408;Los Angeles;USA;Computer Engineer;2007-07-21 12:38:24;2007-07-21 12:38:24
